activist_insight,2026-05-10 01:35:21.070,[dbo].[tblspRaw_old],dbo,tblspRaw_old,1,ClusteredColumnStoreIndex-20230323-150023,CLUSTERED COLUMNSTORE,0,0,0,0,0,NULL,0,PRIMARY,NULL,"spRaw_id, identifier, metric, date, float_value, date_value, pid, symbol, processed, insert_date",0,0,NULL,"date, date_value, float_value, identifier, insert_date, metric, pid, processed, spraw_id, symbol","|date, date_value, float_value, identifier, insert_date, metric, pid, processed, spraw_id, symbol|",1055432758,1,15375.23,0,2,0,115,2,0.02,-113,NULL,2026-06-05 14:07:39.913,NULL,2026-09-01 20:30:12.917,NULL,DROP INDEX [ClusteredColumnStoreIndex-20230323-150023] ON [dbo].[tblspRaw_old];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblReporting_votes],dbo,tblReporting_votes,1,idx_tblReportingVotes,CLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,"reporting_company_id, reporting_votes_id",NULL,2,8,"reporting_company_id, reporting_votes_id",NULL,"reporting_company_id, reporting_votes_id||",565684151,1,133283.87,12784534,19,568,53129738,12785121,0.24,-40344617,2026-09-02 09:02:52.353,2026-09-01 20:46:39.993,2026-09-02 08:30:33.307,2026-09-02 09:02:53.680,"CREATE CLUSTERED INDEX [idx_tblReportingVotes] ON [dbo].[tblReporting_votes] ([reporting_company_id] ASC, [reporting_votes_id] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [idx_tblReportingVotes] ON [dbo].[tblReporting_votes];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblReporting_votes],dbo,tblReporting_votes,2,PK_tblReporting_votes,NONCLUSTERED,1,1,0,0,0,NULL,0,PRIMARY,reporting_votes_id,NULL,1,4,reporting_votes_id,NULL,reporting_votes_id||,565684151,1,12787.91,17250,0,0,53129738,17250,0.00,-53112488,2026-09-02 08:59:11.270,NULL,NULL,2026-09-02 09:02:53.680,"CREATE UNIQUE NONCLUSTERED INDEX [PK_tblReporting_votes] ON [dbo].[tblReporting_votes] ([reporting_votes_id] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];","-- Constraint-backed, review before dropping: ALTER TABLE [dbo].[tblReporting_votes] DROP CONSTRAINT [PK_tblReporting_votes];"
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblReporting_votes],dbo,tblReporting_votes,3,idx_tblReportingVotes_reportingvotesid,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,reporting_votes_id,reporting_company_id,1,4,reporting_votes_id,reporting_company_id,reporting_votes_id|reporting_company_id|,565684151,1,9269.34,745,16,0,53129738,761,0.00,-53128977,2026-09-02 08:30:33.307,2026-09-01 08:35:23.087,NULL,2026-09-02 09:02:53.680,"CREATE NONCLUSTERED INDEX [idx_tblReportingVotes_reportingvotesid] ON [dbo].[tblReporting_votes] ([reporting_votes_id] ASC) INCLUDE (reporting_company_id) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [idx_tblReportingVotes_reportingvotesid] ON [dbo].[tblReporting_votes];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblFeed_data_backup],dbo,tblFeed_data_backup,1,ClusteredIndex-20200130-103543,CLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,feed_id,NULL,1,8,feed_id,NULL,feed_id||,460018874,1,21952.50,0,2,0,0,2,NULL,2,NULL,2026-05-14 10:17:37.353,NULL,NULL,"CREATE CLUSTERED INDEX [ClusteredIndex-20200130-103543] ON [dbo].[tblFeed_data_backup] ([feed_id] DESC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [ClusteredIndex-20200130-103543] ON [dbo].[tblFeed_data_backup];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblFeed_data_backup],dbo,tblFeed_data_backup,2,feed_idx_table_id_times_feed,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,"feed_id, times, table_id",NULL,3,20,"feed_id, times, table_id",NULL,"feed_id, times, table_id||",460018874,1,15688.21,0,0,0,0,0,NULL,0,NULL,NULL,NULL,NULL,"CREATE NONCLUSTERED INDEX [feed_idx_table_id_times_feed] ON [dbo].[tblFeed_data_backup] ([feed_id] DESC, [times] DESC, [table_id] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [feed_idx_table_id_times_feed] ON [dbo].[tblFeed_data_backup];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblFeed_data_backup],dbo,tblFeed_data_backup,4,NonClusteredIndex-20210621-092130,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,"table_id, times",feed_id,2,12,"table_id, times",feed_id,"table_id, times|feed_id|",460018874,1,15756.14,0,0,0,0,0,NULL,0,NULL,NULL,NULL,NULL,"CREATE NONCLUSTERED INDEX [NonClusteredIndex-20210621-092130] ON [dbo].[tblFeed_data_backup] ([table_id] ASC, [times] DESC) INCLUDE (feed_id) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [NonClusteredIndex-20210621-092130] ON [dbo].[tblFeed_data_backup];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblFeed_data_backup],dbo,tblFeed_data_backup,7,feed_idx_table_id_times,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,"table_id, times","unique_id, feed_id",2,12,"table_id, times","feed_id, unique_id","table_id, times|feed_id, unique_id|",460018874,1,18309.76,0,0,0,0,0,NULL,0,NULL,NULL,NULL,NULL,"CREATE NONCLUSTERED INDEX [feed_idx_table_id_times] ON [dbo].[tblFeed_data_backup] ([table_id] ASC, [times] ASC) INCLUDE (unique_id, feed_id) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [feed_idx_table_id_times] ON [dbo].[tblFeed_data_backup];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblFeed_data_old],dbo,tblFeed_data_old,1,ClusteredColumnStoreIndex-20190930-085404,CLUSTERED COLUMNSTORE,0,0,0,0,0,NULL,0,PRIMARY,NULL,"feed_id, table_id, unique_id, times, Command",0,0,NULL,"command, feed_id, table_id, times, unique_id","|command, feed_id, table_id, times, unique_id|",378530296,1,4864.45,0,0,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,DROP INDEX [ClusteredColumnStoreIndex-20190930-085404] ON [dbo].[tblFeed_data_old];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_import_audit],dbo,tblvoting_import_audit,1,PK_tblvoting_import_audit,CLUSTERED,1,1,0,0,0,NULL,0,PRIMARY,import_audit_id,NULL,1,8,import_audit_id,NULL,import_audit_id||,319163018,1,23974.67,0,2,0,21968280,2,0.00,-21968278,NULL,2026-08-19 13:16:05.770,NULL,2026-09-02 08:57:27.853,"CREATE UNIQUE CLUSTERED INDEX [PK_tblvoting_import_audit] ON [dbo].[tblvoting_import_audit] ([import_audit_id] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];","-- Constraint-backed, review before dropping: ALTER TABLE [dbo].[tblvoting_import_audit] DROP CONSTRAINT [PK_tblvoting_import_audit];"
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_import_audit],dbo,tblvoting_import_audit,2,IX_tblvoting_import_audit_action_id,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,"action_id, insert_date",NULL,2,12,"action_id, insert_date",NULL,"action_id, insert_date||",319163018,1,12520.92,0,0,0,21968280,0,0.00,-21968280,NULL,NULL,NULL,2026-09-02 08:57:27.853,"CREATE NONCLUSTERED INDEX [IX_tblvoting_import_audit_action_id] ON [dbo].[tblvoting_import_audit] ([action_id] ASC, [insert_date] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [IX_tblvoting_import_audit_action_id] ON [dbo].[tblvoting_import_audit];
activist_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_import_audit],dbo,tblvoting_import_audit,3,IX_tblvoting_import_audit_insert_by,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,"insert_by, insert_date",NULL,2,263,"insert_by, insert_date",NULL,"insert_by, insert_date||",319163018,1,19575.28,0,0,0,21968280,0,0.00,-21968280,NULL,NULL,NULL,2026-09-02 08:57:27.853,"CREATE NONCLUSTERED INDEX [IX_tblvoting_import_audit_insert_by] ON [dbo].[tblvoting_import_audit] ([insert_by] ASC, [insert_date] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [IX_tblvoting_import_audit_insert_by] ON [dbo].[tblvoting_import_audit];
