proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblFeed_data_old],dbo,tblFeed_data_old,1,ClusteredColumnStoreIndex-20180901-185006,CLUSTERED COLUMNSTORE,0,0,0,0,0,NULL,0,PRIMARY,NULL,"feed_id, table_id, unique_id, times, Command",0,0,NULL,"command, feed_id, table_id, times, unique_id","|command, feed_id, table_id, times, unique_id|",2124422463,1,18246.81,0,0,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,DROP INDEX [ClusteredColumnStoreIndex-20180901-185006] ON [dbo].[tblFeed_data_old];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblfeed_data_backup],dbo,tblfeed_data_backup,0,NULL,HEAP,0,0,0,0,0,NULL,0,PRIMARY,NULL,NULL,0,0,NULL,NULL,||,611641943,1,34188.63,0,1,0,0,1,NULL,1,NULL,2026-05-14 10:18:21.397,NULL,NULL,NULL,NULL
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblfeed_data_backup],dbo,tblfeed_data_backup,2,NonClusteredIndex-20161108-093609,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,"table_id, unique_id, Command",times,3,9,"table_id, unique_id, command",times,"table_id, unique_id, command|times|",611641943,1,33288.57,0,0,0,0,0,NULL,0,NULL,NULL,NULL,NULL,"CREATE NONCLUSTERED INDEX [NonClusteredIndex-20161108-093609] ON [dbo].[tblfeed_data_backup] ([table_id] ASC, [unique_id] ASC, [Command] ASC) INCLUDE (times) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [NonClusteredIndex-20161108-093609] ON [dbo].[tblfeed_data_backup];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_data_Trigger_log],dbo,tblvoting_data_Trigger_log,1,ClusteredIndex-tblvoting_data_Trigger_log,CLUSTERED,0,0,0,0,0,NULL,0,psVotingDataTriggerLog,"timestamp, fund_id, new_proposal_id, vote_cast",NULL,4,66,"timestamp, fund_id, new_proposal_id, vote_cast",NULL,"timestamp, fund_id, new_proposal_id, vote_cast||",501221992,12,181644.41,16,11,0,262058,27,0.00,-262031,2026-08-25 09:25:55.113,2026-08-25 08:43:20.447,NULL,2026-09-02 06:00:01.430,"CREATE CLUSTERED INDEX [ClusteredIndex-tblvoting_data_Trigger_log] ON [dbo].[tblvoting_data_Trigger_log] ([timestamp] ASC, [fund_id] ASC, [new_proposal_id] ASC, [vote_cast] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [psVotingDataTriggerLog];",DROP INDEX [ClusteredIndex-tblvoting_data_Trigger_log] ON [dbo].[tblvoting_data_Trigger_log];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_data_processed_sync],dbo,tblvoting_data_processed_sync,1,ucx_tblvoting_data_processed_sync_fundid,CLUSTERED,1,0,0,0,0,NULL,0,PRIMARY,"fund_id, proposal_id, vote_cast",NULL,3,58,"fund_id, proposal_id, vote_cast",NULL,"fund_id, proposal_id, vote_cast||",408698149,1,22752.51,15318,503,121839,261690,137660,0.53,-124030,2026-09-01 10:05:43.150,2026-06-15 15:51:15.527,2026-09-02 08:50:49.807,2026-09-02 06:00:01.433,"CREATE UNIQUE CLUSTERED INDEX [ucx_tblvoting_data_processed_sync_fundid] ON [dbo].[tblvoting_data_processed_sync] ([fund_id] ASC, [proposal_id] ASC, [vote_cast] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [ucx_tblvoting_data_processed_sync_fundid] ON [dbo].[tblvoting_data_processed_sync];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_data_processed_sync],dbo,tblvoting_data_processed_sync,2,NonClusteredIndex-20180903-160833,NONCLUSTERED,0,0,0,0,0,NULL,0,PRIMARY,proposal_id,"fund_id, vote_cast",1,4,proposal_id,"fund_id, vote_cast","proposal_id|fund_id, vote_cast|",408698149,1,14562.55,876738,883,0,261690,877621,3.35,615931,2026-09-02 08:59:13.477,2026-09-02 08:50:48.537,NULL,2026-09-02 06:00:01.433,"CREATE NONCLUSTERED INDEX [NonClusteredIndex-20180903-160833] ON [dbo].[tblvoting_data_processed_sync] ([proposal_id] ASC) INCLUDE (fund_id, vote_cast) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [PRIMARY];",DROP INDEX [NonClusteredIndex-20180903-160833] ON [dbo].[tblvoting_data_processed_sync];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_data_ready_to_process],dbo,tblvoting_data_ready_to_process,1,cix_voting_data_ready_to_process_clustered,CLUSTERED,0,0,0,0,0,NULL,0,psYearly,"meeting_date, fund_id, new_proposal_id, source_id",NULL,4,20,"meeting_date, fund_id, new_proposal_id, source_id",NULL,"meeting_date, fund_id, new_proposal_id, source_id||",292927206,20,120705.80,123682,200,106181,107410,230063,2.14,122653,2026-09-02 06:00:01.433,2026-09-02 02:01:32.533,2026-09-01 13:51:45.743,2026-09-02 06:00:01.420,"CREATE CLUSTERED INDEX [cix_voting_data_ready_to_process_clustered] ON [dbo].[tblvoting_data_ready_to_process] ([meeting_date] ASC, [fund_id] DESC, [new_proposal_id] DESC, [source_id] DESC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [psYearly];",DROP INDEX [cix_voting_data_ready_to_process_clustered] ON [dbo].[tblvoting_data_ready_to_process];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_data_ready_to_process],dbo,tblvoting_data_ready_to_process,2,idx_voting_data_ready_to_process_import_check_id_meeting_id,NONCLUSTERED,0,0,0,0,0,NULL,0,psYearly,"meeting_date, import_check_id",NULL,2,12,"meeting_date, import_check_id",NULL,"meeting_date, import_check_id||",292927206,20,13640.25,101228,0,0,102808,101228,0.98,-1580,2026-09-01 13:51:45.743,NULL,NULL,2026-09-02 06:00:01.420,"CREATE NONCLUSTERED INDEX [idx_voting_data_ready_to_process_import_check_id_meeting_id] ON [dbo].[tblvoting_data_ready_to_process] ([meeting_date] ASC, [import_check_id] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [psYearly];",DROP INDEX [idx_voting_data_ready_to_process_import_check_id_meeting_id] ON [dbo].[tblvoting_data_ready_to_process];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_data_ready_to_process],dbo,tblvoting_data_ready_to_process,3,idx_voting_data_ready_to_process_newproposalid_fundid,NONCLUSTERED,0,0,0,0,0,NULL,0,psYearly,"meeting_date, new_proposal_id, fund_id",NULL,3,16,"meeting_date, new_proposal_id, fund_id",NULL,"meeting_date, new_proposal_id, fund_id||",292927206,20,12105.95,634,0,0,102808,634,0.01,-102174,2026-09-02 06:00:01.420,NULL,NULL,2026-09-02 06:00:01.420,"CREATE NONCLUSTERED INDEX [idx_voting_data_ready_to_process_newproposalid_fundid] ON [dbo].[tblvoting_data_ready_to_process] ([meeting_date] ASC, [new_proposal_id] ASC, [fund_id] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [psYearly];",DROP INDEX [idx_voting_data_ready_to_process_newproposalid_fundid] ON [dbo].[tblvoting_data_ready_to_process];
proxy_insight,2026-05-10 01:35:21.070,[dbo].[tblvoting_data_ready_to_process],dbo,tblvoting_data_ready_to_process,4,idx_voting_data_ready_to_process_source_id,NONCLUSTERED,0,0,0,0,0,NULL,0,psYearly,"meeting_date, source_id",NULL,2,12,"meeting_date, source_id",NULL,"meeting_date, source_id||",292927206,20,12817.41,15,1,0,102808,16,0.00,-102792,2026-08-31 08:00:02.940,2026-06-05 10:39:06.690,NULL,2026-09-02 06:00:01.420,"CREATE NONCLUSTERED INDEX [idx_voting_data_ready_to_process_source_id] ON [dbo].[tblvoting_data_ready_to_process] ([meeting_date] ASC, [source_id] ASC) WITH (DROP_EXISTING = OFF, ONLINE = ON) ON [psYearly];",DROP INDEX [idx_voting_data_ready_to_process_source_id] ON [dbo].[tblvoting_data_ready_to_process];
