proxy_insight,2026-05-10 01:35:21.070,1257,dbo,tblvoting_data_processed_by_invest_sync,803406.34,23.4,1864.94318926036,1841,0,1727,2026-09-02 06:02:58.793,NULL,NULL,[vote_cast],NULL,[vote_cast],vote_cast,1,IX_tblvoting_data_processed_by_invest_sync_vote_cast,"CREATE NONCLUSTERED INDEX [IX_tblvoting_data_processed_by_invest_sync_vote_cast] ON [proxy_insight].[dbo].[tblvoting_data_processed_by_invest_sync] ([vote_cast]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,1271,dbo,tblvoting_data_processed_by_invest_sync,521288.97,71.44,791.418453018162,922,0,210,2026-09-02 06:11:18.533,NULL,[match_ISS_against],[vote_cast],NULL,"[match_ISS_against], [vote_cast]","match_iss_against, vote_cast",2,IX_tblvoting_data_processed_by_invest_sync_match_ISS_against_vote_cast,"CREATE NONCLUSTERED INDEX [IX_tblvoting_data_processed_by_invest_sync_match_ISS_against_vote_cast] ON [proxy_insight].[dbo].[tblvoting_data_processed_by_invest_sync] ([match_ISS_against], [vote_cast]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,1276,dbo,tblvoting_data_processed_by_invest_sync,521270.75,64.25,879.95265560112,922,0,208,2026-09-02 06:13:42.253,NULL,[match_GL_against],[vote_cast],NULL,"[match_GL_against], [vote_cast]","match_gl_against, vote_cast",2,IX_tblvoting_data_processed_by_invest_sync_match_GL_against_vote_cast,"CREATE NONCLUSTERED INDEX [IX_tblvoting_data_processed_by_invest_sync_match_GL_against_vote_cast] ON [proxy_insight].[dbo].[tblvoting_data_processed_by_invest_sync] ([match_GL_against], [vote_cast]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,1312,dbo,tblNoActionLetter,485844.70,44.83,1.25307741398997,864870,0,48,2026-09-02 09:01:09.237,NULL,[Outcome],[Date_act],"[PID], [PIType]","[Outcome], [Date_act]","outcome, date_act",2,IX_tblNoActionLetter_Outcome_Date_act,"CREATE NONCLUSTERED INDEX [IX_tblNoActionLetter_Outcome_Date_act] ON [proxy_insight].[dbo].[tblNoActionLetter] ([Outcome], [Date_act]) INCLUDE ([PID], [PIType]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,1314,dbo,tblNoActionLetter,480642.71,44.35,1.25307741398997,864870,0,48,2026-09-02 09:01:09.237,NULL,NULL,"[Outcome], [Date_Staff_response]","[PID], [PIType]","[Outcome], [Date_Staff_response]","outcome, date_staff_response",2,IX_tblNoActionLetter_Outcome_Date_Staff_response,"CREATE NONCLUSTERED INDEX [IX_tblNoActionLetter_Outcome_Date_Staff_response] ON [proxy_insight].[dbo].[tblNoActionLetter] ([Outcome], [Date_Staff_response]) INCLUDE ([PID], [PIType]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,1592,dbo,tblProxy_equity_outstanding,352466.24,74.21,46.0453583997959,10315,0,14,2026-08-19 18:55:50.650,NULL,[column_header_type],NULL,[column_header],[column_header_type],column_header_type,1,IX_tblProxy_equity_outstanding_column_header_type,"CREATE NONCLUSTERED INDEX [IX_tblProxy_equity_outstanding_column_header_type] ON [proxy_insight].[dbo].[tblProxy_equity_outstanding] ([column_header_type]) INCLUDE ([column_header]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,35642,dbo,tblGlass_LewisData,351479.94,99.86,45.3105952355015,7768,0,22,2026-08-31 05:37:04.113,NULL,"[COMPANY_NAME], [MEETING_DATE], [MEETING_TYPE]",NULL,"[pid], [meeting_id], [Meet_Checked]","[COMPANY_NAME], [MEETING_DATE], [MEETING_TYPE]","company_name, meeting_date, meeting_type",3,IX_tblGlass_LewisData_COMPANY_NAME_MEETING_DATE_MEETING_TYPE,"CREATE NONCLUSTERED INDEX [IX_tblGlass_LewisData_COMPANY_NAME_MEETING_DATE_MEETING_TYPE] ON [proxy_insight].[dbo].[tblGlass_LewisData] ([COMPANY_NAME], [MEETING_DATE], [MEETING_TYPE]) INCLUDE ([pid], [meeting_id], [Meet_Checked]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,1517937,dbo,tblvoting_data_ready_to_process_2021,301584.06,99.96,1685.50134301122,179,0,23,2026-09-02 06:00:00.743,NULL,[meeting_id],NULL,NULL,[meeting_id],meeting_id,1,IX_tblvoting_data_ready_to_process_2021_meeting_id,"CREATE NONCLUSTERED INDEX [IX_tblvoting_data_ready_to_process_2021_meeting_id] ON [proxy_insight].[dbo].[tblvoting_data_ready_to_process_2021] ([meeting_id]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,72,dbo,tblpolicychange,291684.95,94.82,6.64721134754323,46278,0,11,2026-09-02 09:00:58.117,NULL,NULL,[date_of_change],"[summary_change], [area_field], [section_field], [investor_profile_id]",[date_of_change],date_of_change,1,IX_tblpolicychange_date_of_change,"CREATE NONCLUSTERED INDEX [IX_tblpolicychange_date_of_change] ON [proxy_insight].[dbo].[tblpolicychange] ([date_of_change]) INCLUDE ([summary_change], [area_field], [section_field], [investor_profile_id]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
proxy_insight,2026-05-10 01:35:21.070,1589,dbo,tblProxy_executive_compensation,281522.74,47.38,51.191568647093,11607,0,12,2026-08-19 18:56:16.660,NULL,[proxy_statement_id],NULL,NULL,[proxy_statement_id],proxy_statement_id,1,IX_tblProxy_executive_compensation_proxy_statement_id,"CREATE NONCLUSTERED INDEX [IX_tblProxy_executive_compensation_proxy_statement_id] ON [proxy_insight].[dbo].[tblProxy_executive_compensation] ([proxy_statement_id]); -- Enterprise/Developer: append WITH (ONLINE = ON, MAXDOP = 0)"
